Name,City,Latitude,Longitude,Rating
Quay,Sydney  ,-33.857606,151.2079699,3
Sixpenny,Sydney  ,-33.8925356,151.1625302,3
Attica,Melbourne,-37.8770051,144.9951204,3
Brae,Melbourne,-38.3469215,143.8050326,3
Minamishima,Melbourne,-37.8197477,145.0029043,3
Aubergine,Canberra,-35.3278656,149.1398243,2
Aria,Sydney  ,-33.8591996,151.2110748,2
Automata,Sydney  ,-33.8848028,151.1994008,2
Bennelong,Sydney  ,-33.8575555,151.2124993,2
Bentley Restaurant,Sydney  ,-33.8651972,151.2066346,2
Bert's,Sydney  ,-33.6605459,151.3067308,2
Biota,Sydney  ,-34.4864006,145.9343109,2
Est.,Sydney,-33.8639189,151.1375671,2
Ester,Sydney  ,-33.887456,151.1986444,2
Firedoor,Sydney  ,-33.8815973,151.2077345,2
Fleet,Sydney  ,-8.5406339,153.5498064,2
Fred's,Sydney  ,-33.8867544,151.2278375,2
Iceberg's Dining Room and Bar,Sydney  ,-33.8950175,151.2721393,2
Lucio's,Sydney,-33.8848912,151.232914,2
LuMi Dining,Sydney  ,-33.8668114,151.1951968,2
Momofuku Seiobo,Sydney,-33.8695085,151.1935747,2
Monopole,Sydney  ,-33.8693715,151.2231736,2
Mr. Wong,Sydney  ,-33.8640595,151.2058994,2
Muse Restaurant,Sydney,-32.7777242,151.3010435,2
Ormeggio at the Spit,Sydney  ,-33.8042662,151.243503,2
Pilu at Freshwater,Sydney  ,-33.7815715,151.2864053,2
Porteno,Sydney  ,-33.8863582,151.2071584,2
Rockpool Bar and Grill,Sydney  ,-33.8660935,151.2080151,2
Tetsuya's,Sydney  ,-33.8751495,151.2027873,2
Yellow,Sydney  ,-33.8686934,151.2232447,2
Amaru,Melbourne,-37.855809,145.0227574,2
Kisumé,Melbourne,-37.8162104,144.9666107,2
Cutler and Co.,Melbourne,-37.8054607,144.9737106,2
Di Stasio Citta,Melbourne,-37.8142191,144.9721052,2
Dinner by Heston Blumenthal,Melbourne,-37.821958,144.9576983,2
Flower Drum,Melbourne,-37.8119111,144.9669826,2
Grossi Florentino,Melbourne,-37.8117739,144.9686518,2
Ides,Melbourne,-37.8056126,144.9812193,2
Igni,Melbourne,-38.1507387,144.3575096,2
Iki Jime,Melbourne,-26.3352417,98.6704131,2
Ishizuka,Melbourne,-37.8127307,144.9669373,2
Lake House,Melbourne,-37.3494295,144.1384973,2
Laura,Melbourne,-38.4061664,145.0725713,2
O.My,Melbourne,-38.0460638,145.3650318,2
Paringa Estate,Melbourne,-38.3874293,145.0348976,2
Provenance,Melbourne,-36.4766714,140.9761251,2
Rosetta Ristorante,Melbourne,-37.821584,144.958387,2
Vue de Monde,Melbourne,-37.8186957,144.9554113,2
Wickens at Royal Mail Hotel,Melbourne,-37.6489885,142.3379361,2
Cullen Estate,Perth,-33.8188469,115.0356912,2
Millbrook Winery,Perth,-32.3495667,116.0477813,2
Wills Domain,Perth,-33.7175154,115.0443904,2
10 William St,Sydney,-33.8858288,151.226978,1
Alberto's Lounge,Sydney,-33.8778507,151.2083519,1
The Apollo,Sydney  ,-33.8709111,151.2231942,1
Arthur,Sydney,-33.8889942,151.2132692,1
Bacco Osteria,Sydney,-33.8940638,151.1879483,1
The Bather's Pavilion,Sydney,-33.8224398,151.2487744,1
Bea,Sydney  ,-33.8655743,151.1993587,1
Bennelong Cured and Cultured,Sydney  ,-33.8575555,151.2124993,1
Bistecca,Sydney,-33.8632936,151.2056741,1
Buon Ricordo,Sydney  ,-33.8794562,151.2220348,1
Catalina,Sydney,-33.8704461,151.2278342,1
Cho Cho San,Sydney,-33.8695395,151.2231293,1
Cirrus,Sydney  ,-33.863923,151.1990913,1
