Rating,Name,City,Latitude,Longitude
1,Quay ,Sydney  ,-33.857606,151.2079699
2,Momofuku Seiobo,Sydney,-33.8695085,151.1935747
3,Orana ,Adelaide,-34.9226216,138.6079393
4,Attica ,Melbourne,-37.8770051,144.9951204
5,Brae,Melbourne,-38.3469215,143.8050326
6,Cutler & Co,Melbourne,-37.8054607,144.9737106
7,Vue de Monde ,Melbourne,-37.8186957,144.9554113
8,Dinner by Heston Blumenthal,Melbourne,-37.821958,144.9576983
9,Magill Estate ,Adelaide,-34.9216112,138.6770549
10,Bentley ,Sydney  ,-33.8651972,151.2066346
11,Bennelong ,Sydney  ,-33.8575555,151.2124993
12,Rockpool Bar & Grill,Sydney  ,-33.8660935,151.2080151
13,Restaurant Hubert,Sydney  ,-33.8651347,151.2082606
14,Igni ,Melbourne,-38.1507387,144.3575096
15,The Bridge Room ,Sydney  ,-33.8632244,151.2087223
16,Firedoor,Sydney  ,-33.8815973,151.2077345
17,Minamishima,Melbourne,-37.8197477,145.0029043
18,Ester,Sydney  ,-33.887456,151.1986444
19,Automata,Sydney  ,-33.8848028,151.1994008
20,Flower Drum ,Melbourne,-37.8119111,144.9669826
21,Fred's ,Sydney  ,-33.8867544,151.2278375
22,Laura ,Melbourne,-38.4061664,145.0725713
23,Bert's ,Sydney  ,-33.6605459,151.3067308
24,Cirrus ,Sydney  ,-33.863923,151.1990913
25,Icebergs Dining Room & Bar ,Sydney  ,-33.8950175,151.2721393
26,Sixpenny ,Sydney  ,-33.8925356,151.1625302
27,Sean's ,Sydney  ,-33.8290969,150.9176303
28,Aria ,Sydney  ,-33.8591996,151.2110748
29,Lûmé ,Melbourne,-37.8313673,144.9591684
30,Provenance ,Melbourne,-36.4766714,140.9761251
31,Fleet ,Sydney  ,-8.5406339,153.5498064
32,Aria ,Brisbane,-27.4673189,153.0096437
33,Franklin ,Hobart,-42.8816874,147.3282079
34,Tetsuya's ,Sydney  ,-33.8751495,151.2027873
35,Rosetta ,Sydney  ,-33.8622429,151.2048865
36,LuMi,Sydney  ,-33.8668114,151.1951968
37,Botanic Gardens Restaurant ,Adelaide,-34.9177994,138.6077761
38,Café Di Stasio ,Melbourne,-37.8617559,144.9721371
39,Africola ,Adelaide,-34.9213618,138.6083483
40,Saint Peter ,Sydney  ,-33.8864597,151.2210958
41,Grossi Florentino ,Melbourne,-37.8117739,144.9686518
42,Monopole ,Sydney  ,-33.8693715,151.2231736
43,Wasabi,Brisbane,-26.391052,153.0761697
44,Ormeggio,Sydney  ,-33.8042662,151.243503
45,Lake House,Melbourne,-37.3494295,144.1384973
46,Nu Nu ,Brisbane,-16.7497524,145.6686327
