Restaurant ID,Name,Cuisine,Locality,City,Latitude,Longitude,Rating,Total Number Ratings,Delivery
16577492,Chin Chin,"Thai, Asian Fusion",CBD,Melbourne,-37.8155645773,144.9703757465,4.6,3206,No
16585905,Tipo 00,Italian,CBD,Melbourne,-37.8135277429,144.9619733915,4.9,721,No
16577212,Beatrix,"Coffee and Tea, Bakery",North Melbourne,Melbourne,-37.8023673299,144.9444753304,4.9,384,No
16583098,Lune Croissanterie,"Bakery, French",Fitzroy,Melbourne,-37.7960258682,144.9799244106,4.9,753,No
16573665,The Hardware Societe,"French, Cafe Food, Coffee and Tea",CBD,Melbourne,-37.8120317331,144.9604676664,4.6,2103,No
16582897,Supernormal,"Asian, Fusion",CBD,Melbourne,-37.8160479531,144.9683724716,4.5,1022,No
18423923,Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",Carlton,Melbourne,-37.8048177217,144.9615536258,4.8,829,No
16582887,Rice Paper Scissors,"Asian Fusion, Tapas",CBD,Melbourne,-37.8143130000,144.9614020000,4.8,991,Yes
16582069,Jinda Thai Restaurant,Thai,Abbotsford,Melbourne,-37.8093087478,144.9923685193,4.7,1034,No
18449476,Calia,"Japanese, Australian, Asian",Emporium Melbourne,Melbourne,-37.8127461027,144.9639669433,4.5,676,Yes
18515006,Kisumé,Japanese,CBD,Melbourne,-37.8160916554,144.9686400220,4.5,534,No
16581560,Operator25,"Coffee and Tea, Cafe Food",CBD,Melbourne,-37.8106103896,144.9571014941,4.3,818,No
16577214,Manchester Press,"Coffee and Tea, Cafe Food",CBD,Melbourne,-37.8139099517,144.9621769041,4.4,1143,No
16582573,Mr. Miyagi,"Asian, Japanese",Windsor,Melbourne,-37.8542571942,144.9928734452,4.7,907,No
16575238,Mamasita,"Latin American, Mexican",CBD,Melbourne,-37.8136270697,144.9734364823,4.4,1826,No
16713362,Serotonin Eatery,"Cafe Food, Healthy Food, Vegan",Richmond,Melbourne,-37.8281773961,145.0091433898,4.6,901,Yes
18316755,Higher Ground,"Cafe Food, Coffee and Tea",CBD,Melbourne,-37.8159708780,144.9530480057,4.2,843,No
16585400,Hakata Gensuke Ramen Professionals,"Ramen, Japanese",CBD,Melbourne,-37.8123360761,144.9680422247,4.7,844,No
16580028,Wonderbao,"Chinese, Taiwanese",CBD,Melbourne,-37.8089773737,144.9627716839,4.7,773,No
16578739,ChangGo,"Korean BBQ, Korean",CBD,Melbourne,-37.8095426424,144.9617829546,4.5,414,No
16581005,Top Paddock,"Coffee and Tea, Cafe Food",Richmond,Melbourne,-37.8328107891,144.9964692816,4.5,1474,No
16578345,San Telmo,Steak,CBD,Melbourne,-37.8122960798,144.9723887444,4.6,768,No
16573377,Seven Seeds,"Coffee and Tea, Cafe Food",Carlton,Melbourne,-37.8029400666,144.9590373784,4.4,945,No
16581462,The Grain Store,"European, Coffee and Tea, Cafe Food",CBD,Melbourne,-37.8197146191,144.9566186965,4.5,800,No
16573759,Le Petit Gateau,"French, Desserts, Coffee and Tea",CBD,Melbourne,-37.8163464526,144.9596324936,4.9,350,No
16572962,+39 Pizzeria,"Pizza, Italian",CBD,Melbourne,-37.8134906609,144.9618449807,4.6,808,No
16571189,Cumulus Inc.,"Modern European, Contemporary",CBD,Melbourne,-37.8147943480,144.9731357396,4.7,1124,No
16571938,MoVida Bar De Tapas,"Spanish, Tapas",CBD,Melbourne,-37.8167026904,144.9691895396,4.7,899,No
18138489,Brick Lane,"Cafe Food, Coffee and Tea",CBD,Melbourne,-37.8114013232,144.9598075077,4.5,383,No
16572612,Vue de monde,"Australian, Contemporary",CBD,Melbourne,-37.8189544974,144.9579336494,4.9,986,No
18584637,Dodee Paidang,Thai,CBD,Melbourne,-37.8157595172,144.9631257355,4.6,473,Yes
