Restaurant Name,Locality,City,Cuisines,Highlights
Margan Restaurant,Broke,Broke,Modern Australian,"['Dinner', 'Lunch', 'Outdoor Seating', 'Farm-to-Table', 'Gluten Free Options', 'Table booking recommended']"
Spirit House,Yandina,Sunshine Coast,"Asian, Thai","['Dinner', 'Lunch', 'Indoor Seating', 'Gluten Free Options', 'Kid Friendly', 'Table booking recommended']"
Three Anchors,Middleton Beach,Middleton Beach,"Bar Food, Modern Australian","['Dinner', 'Breakfast', 'Lunch', 'Live Music', 'Wifi', 'Waterfront', 'Table booking recommended', 'Outdoor Seating']"
Venice Pizza Bar & Restaurant,Albany,Albany,"Coffee and Tea, Italian, Pizza","['Dinner', 'Lunch', 'Kid Friendly']"
Trèsind,"Voco Hotel, Trade Centre Area",Dubai,"Contemporary, Indian","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Delivery', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Private Dining Area Available', 'Wifi', 'Nightlife', 'Fullbar', 'Kid Friendly', 'Luxury Dining', 'Wheelchair Accessible']"
Landour Bakehouse,Landour,Mussoorie,"Cafe, Bakery, Desserts","['No Alcohol Available', 'Credit Card', 'Breakfast', 'Lunch', 'Takeaway Available', 'Cash', 'Debit Card', 'Dinner', 'Indoor Seating', 'Desserts and Bakes']"
Ahdoo's,Lal Chowk,Srinagar,"South Indian, North Indian, Kashmiri","['Delivery', 'Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']"
Port Elliot Bakery,Port Elliot,Port Elliot,Others,"['Lunch', 'Breakfast', 'Dinner', 'Kid Friendly', 'Vegan Options', 'Gluten Free Options']"
Zooby's Kitchen,Mall Road,Nainital,"North Indian, Mughlai, Chinese, Beverages","['Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Indoor Seating']"
Punjab Grill,"Venetian Village, Al Maqtaa",Abu Dhabi,"Indian, North Indian","['Delivery', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Waterfront', 'Outdoor Seating', 'Private Dining Area Available', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Luxury Dining', 'Wheelchair Accessible']"
Thunder Road Barracuda,"Barracuda Beach Resort, Khor Al Baida",Umm al Quwain,Italian,"['Lunch', 'Serves Alcohol', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Outdoor Seating', 'Wifi', 'Serves Organic Food', 'Waterfront', 'Indoor Seating', 'Drinking Age Applicable', 'Gluten Free Options', 'Free Parking', 'Fullbar']"
Silver Orange Bistro,Hartbeespoort,Hartbeespoort,South African,"['Credit Card', 'Dinner', 'Lunch', 'Serves Alcohol', 'Air Conditioned', 'Table booking recommended', 'Outdoor Seating']"
Bistro Molines,Mount View,Mount View,French,"['Lunch', 'Dinner']"
Spice Den,Casuarina,Casuarina,Thai,"['Dinner', 'Lunch', 'Outdoor Seating', 'Gluten Free Options', 'Waterfront', 'Table booking recommended', 'Nightlife']"
Cang Tong Chinese-Japanese Restaurant,Sebring,Sebring,"Chinese, Japanese, Sushi","['Delivery', 'Lunch', 'Dinner', 'Kid Friendly', 'Wifi', 'Vegetarian Friendly']"
Zuma - زوما,DIFC,Dubai,"Japanese, Sushi, Salad","['Dinner', 'Lunch', 'Takeaway Available', 'Cash', 'Debit Card', 'Credit Card', 'Brunch', 'Indoor Seating', 'Wifi', 'Fullbar', 'Wheelchair Accessible', 'Valet Parking Available', 'Luxury Dining', 'Nightlife', 'Table booking recommended']"
Gasto,Nişantaşı,İstanbul,Turkish,"['Cash', 'Debit Card', 'Lunch', 'Credit Card', 'No Alcohol Available', 'Breakfast', 'Dinner', 'Indoor Seating', 'Wifi', 'Group Meal', 'Smoking Area']"
Dishdash,Sunnyvale,Sunnyvale,Middle Eastern,"['Credit Card', 'Dinner', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Indoor Seating', 'Vegetarian Friendly', 'Fullbar', 'Outdoor Seating', 'Lunch Menu']"
Superfly Martini Bar & Grill,Brookings,Brookings,"American, Breakfast, Burger","['Lunch', 'Serves Alcohol', 'Breakfast', 'Dinner', 'Outdoor Seating', 'Private Dining Area Available', 'Gluten Free Options', 'Nightlife', 'Kid Friendly', 'Wifi', 'Sports Bar']"
Del Norte,Godley,Godley,"Mexican, Southwestern, Tex-Mex","['Dinner', 'Breakfast', 'Lunch', 'Outdoor Seating', 'BYOB']"
The Belle General,East Ballina,East Ballina,Cafe Food,"['Credit Card', 'Lunch', 'Dinner', 'Indoor Seating']"
Blueberry Hills,Manson,Manson,"American, Breakfast, Desserts","['Breakfast', 'Dinner', 'Lunch', 'Outdoor Seating', 'Kid Friendly']"
Bar-B-Q Bill's,Chiefland,Chiefland,BBQ,"['Lunch', 'Dinner']"
Driftwood Bistro,Jekyll Island,Jekyll Island,"Seafood, Southern, Cajun","['Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Outdoor Seating', 'Kid Friendly', 'Sports Bar', 'Indoor Seating', 'Wifi', 'Fullbar']"
Hotel Tokas,Neemrana,Neemrana,North Indian,"['Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Breakfast', 'Lunch', 'Free Parking', 'Air Conditioned', 'Indoor Seating', 'Wifi']"
Bernie's Diner,Moss Vale,Moss Vale,"Burger, Diner","['Cash', 'Takeaway Available', 'Lunch', 'Breakfast', 'Dinner', 'Kid Friendly']"
St Bernards Hotel,Mount Tamborine,Mount Tamborine,Modern Australian,"['Lunch', 'Dinner', 'Outdoor Seating', 'Kid Friendly']"
Fyansford Hotel,Fyansford,Fyansford,"Bar Food, Modern Australian","['Dinner', 'Lunch', 'Outdoor Seating', 'Gastro Pub', 'Table booking recommended', 'Kid Friendly', 'Gluten Free Options']"
Twisted Lemon,Haldimand,Haldimand,Canadian,"['Cash', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Fullbar']"
Mic Mac Bar and Grill,Dartmouth,Dartmouth,Steak,"['Breakfast', 'Dinner', 'Credit Card', 'Lunch', 'Cash', 'Serves Alcohol', 'Indoor Seating', 'Fullbar']"
3rd & Main,Aurora,Aurora,"American, BBQ, Burger","['Lunch', 'Serves Alcohol', 'Dinner', 'Vegetarian Friendly', 'Live Music', 'Kid Friendly', 'Wifi', 'Nightlife', 'Table booking recommended', 'Outdoor Seating']"
Grill'd - The Junction,The Junction,The Junction,Burger,"['Cash', 'Lunch', 'Credit Card', 'Dinner', 'Indoor Seating', 'Gluten Free Options', 'Vegetarian Friendly', 'Kid Friendly', 'Vegan Options', 'Beer']"
The Art of Food,Dullstroom,Dullstroom,"Contemporary, South African","['Credit Card', 'Breakfast', 'Dinner', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Outdoor Seating']"
The Stunned Mullet,Port Macquarie,Port Macquarie,"Seafood, Modern Australian","['Lunch', 'Dinner', 'Outdoor Seating', 'Gluten Free Options', 'Kid Friendly', 'Waterfront', 'Table booking recommended']"
White Grill,Nevada,Nevada,"Burger, Coffee and Tea, Diner","['Breakfast', 'Dinner', 'Lunch']"
Gorges Cafe,Kalbarri,Kalbarri,"Breakfast, Modern Australian","['Breakfast', 'Dinner', 'Lunch']"
The Harrietville Snowline Hotel,Harrietville,Harrietville,"Bar Food, Steak","['Cash', 'Dinner', 'Lunch', 'Indoor Seating', 'Gluten Free Options', 'Fullbar', 'Outdoor Seating', 'Kid Friendly', 'Nightlife']"
Goodfellas Cafe,Burnside,Burnside,"Italian, Pizza","['Breakfast', 'Dinner', 'Indoor Seating']"
